Max profit 3333
 at price 1: 967, price 2: 934
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 901 Profit 2: 99, Volume 2: 1, Total Profit: 99
Price 1 = 909, Profit 1: 91, Volume 1: 9, Price 2: 988 Profit 2: 12, Volume 2: 79, Total Profit: 1767
Price 1 = 909, Profit 1: 91, Volume 1: 9, Price 2: 989 Profit 2: 11, Volume 2: 80, Total Profit: 1699
Price 1 = 909, Profit 1: 91, Volume 1: 9, Price 2: 990 Profit 2: 10, Volume 2: 81, Total Profit: 1629
Price 1 = 909, Profit 1: 91, Volume 1: 9, Price 2: 991 Profit 2: 9, Volume 2: 82, Total Profit: 1557
Price 1 = 909, Profit 1: 91, Volume 1: 9, Price 2: 992 Profit 2: 8, Volume 2: 83, Total Profit: 1483
Price 1 = 909, Profit 1: 91, Volume 1: 9, Price 2: 993 Profit 2: 7, Volume 2: 84, Total Profit: 1407
Price 1 = 909, Profit 1: 91, Volume 1: 9, Price 2: 994 Profit 2: 6, Volume 2: 85, Total Profit: 1329
Price 1 = 909, Profit 1: 91, Volume 1: 9, Price 2: 995 Profit 2: 5, Volume 2: 86, Total Profit: 1249
Price 1 = 909, Profit 1: 91, Volume 1: 9, Price 2: 996 Profit 2: 4, Volume 2: 87, Total Profit: 1167
Price 1 = 909, Profit 1: 91, Volume 1: 9, Price 2: 997 Profit 2: 3, Volume 2: 88, Total Profit: 1083
Price 1 = 909, Profit 1: 91, Volume 1: 9, Price 2: 998 Profit 2: 2, Volume 2: 89, Total Profit: 997
Price 1 = 909, Profit 1: 91, Volume 1: 9, Price 2: 999 Profit 2: 1, Volume 2: 90, Total Profit: 909
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 911 Profit 2: 89, Volume 2: 1, Total Profit: 989
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 912 Profit 2: 88, Volume 2: 2, Total Profit: 1076
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 913 Profit 2: 87, Volume 2: 3, Total Profit: 1161
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 914 Profit 2: 86, Volume 2: 4, Total Profit: 1244
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 915 Profit 2: 85, Volume 2: 5, Total Profit: 1325
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 916 Profit 2: 84, Volume 2: 6, Total Profit: 1404
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 917 Profit 2: 83, Volume 2: 7, Total Profit: 1481
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 918 Profit 2: 82, Volume 2: 8, Total Profit: 1556
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 919 Profit 2: 81, Volume 2: 9, Total Profit: 1629
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 920 Profit 2: 80, Volume 2: 10, Total Profit: 1700
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 921 Profit 2: 79, Volume 2: 11, Total Profit: 1769
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 922 Profit 2: 78, Volume 2: 12, Total Profit: 1836
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 923 Profit 2: 77, Volume 2: 13, Total Profit: 1901
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 924 Profit 2: 76, Volume 2: 14, Total Profit: 1964
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 925 Profit 2: 75, Volume 2: 15, Total Profit: 2025
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 926 Profit 2: 74, Volume 2: 16, Total Profit: 2084
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 927 Profit 2: 73, Volume 2: 17, Total Profit: 2141
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 928 Profit 2: 72, Volume 2: 18, Total Profit: 2196
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 929 Profit 2: 71, Volume 2: 19, Total Profit: 2249
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 930 Profit 2: 70, Volume 2: 20, Total Profit: 2300
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 931 Profit 2: 69, Volume 2: 21, Total Profit: 2349
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 932 Profit 2: 68, Volume 2: 22, Total Profit: 2396
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 933 Profit 2: 67, Volume 2: 23, Total Profit: 2441
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 934 Profit 2: 66, Volume 2: 24, Total Profit: 2484
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 935 Profit 2: 65, Volume 2: 25, Total Profit: 2525
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 936 Profit 2: 64, Volume 2: 26, Total Profit: 2564
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 937 Profit 2: 63, Volume 2: 27, Total Profit: 2601
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 938 Profit 2: 62, Volume 2: 28, Total Profit: 2636
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 939 Profit 2: 61, Volume 2: 29, Total Profit: 2669
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 940 Profit 2: 60, Volume 2: 30, Total Profit: 2700
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 941 Profit 2: 59, Volume 2: 31, Total Profit: 2729
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 942 Profit 2: 58, Volume 2: 32, Total Profit: 2756
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 943 Profit 2: 57, Volume 2: 33, Total Profit: 2781
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 944 Profit 2: 56, Volume 2: 34, Total Profit: 2804
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 945 Profit 2: 55, Volume 2: 35, Total Profit: 2825
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 946 Profit 2: 54, Volume 2: 36, Total Profit: 2844
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 947 Profit 2: 53, Volume 2: 37, Total Profit: 2861
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 948 Profit 2: 52, Volume 2: 38, Total Profit: 2876
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 949 Profit 2: 51, Volume 2: 39, Total Profit: 2889
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 950 Profit 2: 50, Volume 2: 40, Total Profit: 2900
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 951 Profit 2: 49, Volume 2: 41, Total Profit: 2909
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 952 Profit 2: 48, Volume 2: 42, Total Profit: 2916
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 953 Profit 2: 47, Volume 2: 43, Total Profit: 2921
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 954 Profit 2: 46, Volume 2: 44, Total Profit: 2924
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 955 Profit 2: 45, Volume 2: 45, Total Profit: 2925
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 956 Profit 2: 44, Volume 2: 46, Total Profit: 2924
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 957 Profit 2: 43, Volume 2: 47, Total Profit: 2921
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 958 Profit 2: 42, Volume 2: 48, Total Profit: 2916
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 959 Profit 2: 41, Volume 2: 49, Total Profit: 2909
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 960 Profit 2: 40, Volume 2: 50, Total Profit: 2900
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 961 Profit 2: 39, Volume 2: 51, Total Profit: 2889
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 962 Profit 2: 38, Volume 2: 52, Total Profit: 2876
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 963 Profit 2: 37, Volume 2: 53, Total Profit: 2861
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 964 Profit 2: 36, Volume 2: 54, Total Profit: 2844
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 965 Profit 2: 35, Volume 2: 55, Total Profit: 2825
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 966 Profit 2: 34, Volume 2: 56, Total Profit: 2804
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 967 Profit 2: 33, Volume 2: 57, Total Profit: 2781
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 968 Profit 2: 32, Volume 2: 58, Total Profit: 2756
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 969 Profit 2: 31, Volume 2: 59, Total Profit: 2729
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 970 Profit 2: 30, Volume 2: 60, Total Profit: 2700
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 971 Profit 2: 29, Volume 2: 61, Total Profit: 2669
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 972 Profit 2: 28, Volume 2: 62, Total Profit: 2636
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 973 Profit 2: 27, Volume 2: 63, Total Profit: 2601
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 974 Profit 2: 26, Volume 2: 64, Total Profit: 2564
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 975 Profit 2: 25, Volume 2: 65, Total Profit: 2525
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 976 Profit 2: 24, Volume 2: 66, Total Profit: 2484
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 977 Profit 2: 23, Volume 2: 67, Total Profit: 2441
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 978 Profit 2: 22, Volume 2: 68, Total Profit: 2396
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 979 Profit 2: 21, Volume 2: 69, Total Profit: 2349
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 980 Profit 2: 20, Volume 2: 70, Total Profit: 2300
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 981 Profit 2: 19, Volume 2: 71, Total Profit: 2249
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 982 Profit 2: 18, Volume 2: 72, Total Profit: 2196
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 983 Profit 2: 17, Volume 2: 73, Total Profit: 2141
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 984 Profit 2: 16, Volume 2: 74, Total Profit: 2084
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 985 Profit 2: 15, Volume 2: 75, Total Profit: 2025
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 986 Profit 2: 14, Volume 2: 76, Total Profit: 1964
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 987 Profit 2: 13, Volume 2: 77, Total Profit: 1901
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 988 Profit 2: 12, Volume 2: 78, Total Profit: 1836
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 989 Profit 2: 11, Volume 2: 79, Total Profit: 1769
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 990 Profit 2: 10, Volume 2: 80, Total Profit: 1700
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 991 Profit 2: 9, Volume 2: 81, Total Profit: 1629
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 992 Profit 2: 8, Volume 2: 82, Total Profit: 1556
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 993 Profit 2: 7, Volume 2: 83, Total Profit: 1481
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 994 Profit 2: 6, Volume 2: 84, Total Profit: 1404
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 995 Profit 2: 5, Volume 2: 85, Total Profit: 1325
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 996 Profit 2: 4, Volume 2: 86, Total Profit: 1244
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 997 Profit 2: 3, Volume 2: 87, Total Profit: 1161
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 998 Profit 2: 2, Volume 2: 88, Total Profit: 1076
Price 1 = 910, Profit 1: 90, Volume 1: 10, Price 2: 999 Profit 2: 1, Volume 2: 89, Total Profit: 989
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 912 Profit 2: 88, Volume 2: 1, Total Profit: 1067
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 913 Profit 2: 87, Volume 2: 2, Total Profit: 1153
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 914 Profit 2: 86, Volume 2: 3, Total Profit: 1237
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 915 Profit 2: 85, Volume 2: 4, Total Profit: 1319
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 916 Profit 2: 84, Volume 2: 5, Total Profit: 1399
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 917 Profit 2: 83, Volume 2: 6, Total Profit: 1477
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 918 Profit 2: 82, Volume 2: 7, Total Profit: 1553
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 919 Profit 2: 81, Volume 2: 8, Total Profit: 1627
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 920 Profit 2: 80, Volume 2: 9, Total Profit: 1699
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 921 Profit 2: 79, Volume 2: 10, Total Profit: 1769
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 922 Profit 2: 78, Volume 2: 11, Total Profit: 1837
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 923 Profit 2: 77, Volume 2: 12, Total Profit: 1903
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 924 Profit 2: 76, Volume 2: 13, Total Profit: 1967
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 925 Profit 2: 75, Volume 2: 14, Total Profit: 2029
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 926 Profit 2: 74, Volume 2: 15, Total Profit: 2089
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 927 Profit 2: 73, Volume 2: 16, Total Profit: 2147
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 928 Profit 2: 72, Volume 2: 17, Total Profit: 2203
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 929 Profit 2: 71, Volume 2: 18, Total Profit: 2257
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 930 Profit 2: 70, Volume 2: 19, Total Profit: 2309
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 931 Profit 2: 69, Volume 2: 20, Total Profit: 2359
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 932 Profit 2: 68, Volume 2: 21, Total Profit: 2407
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 933 Profit 2: 67, Volume 2: 22, Total Profit: 2453
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 934 Profit 2: 66, Volume 2: 23, Total Profit: 2497
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 935 Profit 2: 65, Volume 2: 24, Total Profit: 2539
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 936 Profit 2: 64, Volume 2: 25, Total Profit: 2579
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 937 Profit 2: 63, Volume 2: 26, Total Profit: 2617
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 938 Profit 2: 62, Volume 2: 27, Total Profit: 2653
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 939 Profit 2: 61, Volume 2: 28, Total Profit: 2687
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 940 Profit 2: 60, Volume 2: 29, Total Profit: 2719
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 941 Profit 2: 59, Volume 2: 30, Total Profit: 2749
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 942 Profit 2: 58, Volume 2: 31, Total Profit: 2777
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 943 Profit 2: 57, Volume 2: 32, Total Profit: 2803
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 944 Profit 2: 56, Volume 2: 33, Total Profit: 2827
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 945 Profit 2: 55, Volume 2: 34, Total Profit: 2849
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 946 Profit 2: 54, Volume 2: 35, Total Profit: 2869
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 947 Profit 2: 53, Volume 2: 36, Total Profit: 2887
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 948 Profit 2: 52, Volume 2: 37, Total Profit: 2903
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 949 Profit 2: 51, Volume 2: 38, Total Profit: 2917
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 950 Profit 2: 50, Volume 2: 39, Total Profit: 2929
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 951 Profit 2: 49, Volume 2: 40, Total Profit: 2939
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 952 Profit 2: 48, Volume 2: 41, Total Profit: 2947
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 953 Profit 2: 47, Volume 2: 42, Total Profit: 2953
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 954 Profit 2: 46, Volume 2: 43, Total Profit: 2957
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 955 Profit 2: 45, Volume 2: 44, Total Profit: 2959
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 956 Profit 2: 44, Volume 2: 45, Total Profit: 2959
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 957 Profit 2: 43, Volume 2: 46, Total Profit: 2957
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 958 Profit 2: 42, Volume 2: 47, Total Profit: 2953
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 959 Profit 2: 41, Volume 2: 48, Total Profit: 2947
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 960 Profit 2: 40, Volume 2: 49, Total Profit: 2939
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 961 Profit 2: 39, Volume 2: 50, Total Profit: 2929
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 962 Profit 2: 38, Volume 2: 51, Total Profit: 2917
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 963 Profit 2: 37, Volume 2: 52, Total Profit: 2903
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 964 Profit 2: 36, Volume 2: 53, Total Profit: 2887
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 965 Profit 2: 35, Volume 2: 54, Total Profit: 2869
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 966 Profit 2: 34, Volume 2: 55, Total Profit: 2849
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 967 Profit 2: 33, Volume 2: 56, Total Profit: 2827
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 968 Profit 2: 32, Volume 2: 57, Total Profit: 2803
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 969 Profit 2: 31, Volume 2: 58, Total Profit: 2777
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 970 Profit 2: 30, Volume 2: 59, Total Profit: 2749
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 971 Profit 2: 29, Volume 2: 60, Total Profit: 2719
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 972 Profit 2: 28, Volume 2: 61, Total Profit: 2687
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 973 Profit 2: 27, Volume 2: 62, Total Profit: 2653
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 974 Profit 2: 26, Volume 2: 63, Total Profit: 2617
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 975 Profit 2: 25, Volume 2: 64, Total Profit: 2579
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 976 Profit 2: 24, Volume 2: 65, Total Profit: 2539
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 977 Profit 2: 23, Volume 2: 66, Total Profit: 2497
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 978 Profit 2: 22, Volume 2: 67, Total Profit: 2453
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 979 Profit 2: 21, Volume 2: 68, Total Profit: 2407
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 980 Profit 2: 20, Volume 2: 69, Total Profit: 2359
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 981 Profit 2: 19, Volume 2: 70, Total Profit: 2309
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 982 Profit 2: 18, Volume 2: 71, Total Profit: 2257
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 983 Profit 2: 17, Volume 2: 72, Total Profit: 2203
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 984 Profit 2: 16, Volume 2: 73, Total Profit: 2147
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 985 Profit 2: 15, Volume 2: 74, Total Profit: 2089
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 986 Profit 2: 14, Volume 2: 75, Total Profit: 2029
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 987 Profit 2: 13, Volume 2: 76, Total Profit: 1967
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 988 Profit 2: 12, Volume 2: 77, Total Profit: 1903
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 989 Profit 2: 11, Volume 2: 78, Total Profit: 1837
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 990 Profit 2: 10, Volume 2: 79, Total Profit: 1769
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 991 Profit 2: 9, Volume 2: 80, Total Profit: 1699
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 992 Profit 2: 8, Volume 2: 81, Total Profit: 1627
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 993 Profit 2: 7, Volume 2: 82, Total Profit: 1553
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 994 Profit 2: 6, Volume 2: 83, Total Profit: 1477
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 995 Profit 2: 5, Volume 2: 84, Total Profit: 1399
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 996 Profit 2: 4, Volume 2: 85, Total Profit: 1319
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 997 Profit 2: 3, Volume 2: 86, Total Profit: 1237
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 998 Profit 2: 2, Volume 2: 87, Total Profit: 1153
Price 1 = 911, Profit 1: 89, Volume 1: 11, Price 2: 999 Profit 2: 1, Volume 2: 88, Total Profit: 1067
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 913 Profit 2: 87, Volume 2: 1, Total Profit: 1143
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 914 Profit 2: 86, Volume 2: 2, Total Profit: 1228
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 915 Profit 2: 85, Volume 2: 3, Total Profit: 1311
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 916 Profit 2: 84, Volume 2: 4, Total Profit: 1392
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 917 Profit 2: 83, Volume 2: 5, Total Profit: 1471
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 918 Profit 2: 82, Volume 2: 6, Total Profit: 1548
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 919 Profit 2: 81, Volume 2: 7, Total Profit: 1623
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 920 Profit 2: 80, Volume 2: 8, Total Profit: 1696
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 921 Profit 2: 79, Volume 2: 9, Total Profit: 1767
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 922 Profit 2: 78, Volume 2: 10, Total Profit: 1836
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 923 Profit 2: 77, Volume 2: 11, Total Profit: 1903
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 924 Profit 2: 76, Volume 2: 12, Total Profit: 1968
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 925 Profit 2: 75, Volume 2: 13, Total Profit: 2031
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 926 Profit 2: 74, Volume 2: 14, Total Profit: 2092
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 927 Profit 2: 73, Volume 2: 15, Total Profit: 2151
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 928 Profit 2: 72, Volume 2: 16, Total Profit: 2208
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 929 Profit 2: 71, Volume 2: 17, Total Profit: 2263
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 930 Profit 2: 70, Volume 2: 18, Total Profit: 2316
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 931 Profit 2: 69, Volume 2: 19, Total Profit: 2367
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 932 Profit 2: 68, Volume 2: 20, Total Profit: 2416
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 933 Profit 2: 67, Volume 2: 21, Total Profit: 2463
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 934 Profit 2: 66, Volume 2: 22, Total Profit: 2508
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 935 Profit 2: 65, Volume 2: 23, Total Profit: 2551
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 936 Profit 2: 64, Volume 2: 24, Total Profit: 2592
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 937 Profit 2: 63, Volume 2: 25, Total Profit: 2631
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 938 Profit 2: 62, Volume 2: 26, Total Profit: 2668
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 939 Profit 2: 61, Volume 2: 27, Total Profit: 2703
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 940 Profit 2: 60, Volume 2: 28, Total Profit: 2736
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 941 Profit 2: 59, Volume 2: 29, Total Profit: 2767
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 942 Profit 2: 58, Volume 2: 30, Total Profit: 2796
Price 1 = 912, Profit 1: 88, Volume 1: 12, Price 2: 943 Profit 2: 57, Volume 2: 31, Total Profit: 2823
